rain_1h,snow_1h,clouds_all,weather_main,weather_description,traffic_volume,ID,year,month,day,hour,dayofweek,weekofyear,dayofyear,is_weekend,is_holiday,is_peak_am,is_peak_pm,is_commute_hour,temp_c,precip_total,rain_flag,snow_flag,any_precip,precip_intensity_bin,is_washingtons_birthday,is_shoulder_hour,is_transition_month,extreme_temp_flag,is_night,is_precommute_hour,is_midday_block,is_evening_block,is_summer_month,is_winter_month,is_holiday_season,is_month_start,is_month_end,weekofyear_quarter,peak_am_rain,peak_pm_snow,hour_weekend,weekend_precip,holiday_commute,commute_precip,rain_commute,snow_commute,winter_precip,holiday_precip,is_monthly_turn,low_visibility,very_low_visibility,night_low_visibility,commute_low_visibility,rain_heavy_flag,snow_heavy_flag,rain_snow_mix,hour_centered,hour_centered_sq,hour_centered_cu,temp_c_centered,temp_c_centered_sq,temp_c_centered_cu,precip_total_centered,precip_total_centered_sq,precip_total_centered_cu,clouds_all_centered,clouds_all_centered_sq,clouds_all_centered_cu,dayofweek_centered,dayofweek_centered_sq,dayofweek_centered_cu
0.0,0.0,100,other,other,,5001,2013,2,1,0,4,5,32,0,0,0,0,0,-20.38888888888889,0.0,0,0,0,none,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-11.421880400967854,130.4593518940136,-1490.0911145212024,-20.14809213811115,405.9456168058163,-8179.029690465949,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,45.78301071552022,2096.084070177439,95965.03944556494,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,100,other,other,,5002,2013,2,1,3,4,5,32,0,0,0,0,0,-22.22222222222222,0.0,0,0,0,none,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-8.421880400967854,70.92806948820646,-597.3477183012121,-21.98142547144448,483.18306575666827,-10621.052548994261,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,45.78301071552022,2096.084070177439,95965.03944556494,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,100,other,other,,5003,2013,2,1,4,4,5,32,0,0,0,0,0,-22.22222222222222,0.0,0,0,0,none,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-7.421880400967854,55.08430868627076,-408.82915103949625,-21.98142547144448,483.18306575666827,-10621.052548994261,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,45.78301071552022,2096.084070177439,95965.03944556494,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,100,other,other,,5004,2013,2,1,5,4,5,32,0,0,0,0,0,-22.22222222222222,0.0,0,0,0,none,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-6.421880400967854,41.24054788433505,-264.84186618358757,-21.98142547144448,483.18306575666827,-10621.052548994261,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,45.78301071552022,2096.084070177439,95965.03944556494,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,100,other,other,,5005,2013,2,1,8,4,5,32,0,0,1,0,1,-23.22222222222222,0.0,0,0,0,none,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-3.4218804009678543,11.709265478527923,-40.06770605070418,-22.98142547144448,528.1459166995572,-12137.5460226786,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,45.78301071552022,2096.084070177439,95965.03944556494,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,99,other,other,,5006,2013,2,1,9,4,5,32,0,0,1,0,1,-21.0,0.0,0,0,0,none,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.4218804009678543,5.865504676592215,-14.205550818023978,-20.75920324922226,430.94451954252,-8946.064870321608,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,44.78301071552022,2005.5180487463988,89813.13626717919,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,99,other,other,,5007,2013,2,1,10,4,5,32,0,0,0,0,0,-21.0,0.0,0,0,0,none,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.4218804009678543,2.021743874656506,-2.874677991150896,-20.75920324922226,430.94451954252,-8946.064870321608,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,44.78301071552022,2005.5180487463988,89813.13626717919,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,99,other,other,,5008,2013,2,1,11,4,5,32,0,0,0,0,0,-21.0,0.0,0,0,0,none,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.4218804009678543,0.1779830727207975,-0.07508757008494082,-20.75920324922226,430.94451954252,-8946.064870321608,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,44.78301071552022,2005.5180487463988,89813.13626717919,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,85,other,other,,5009,2013,2,1,12,4,5,32,0,0,0,0,0,-19.833333333333332,0.0,0,0,0,none,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5781195990321457,0.3342222707850889,0.19322044517388884,-19.592536582555592,383.86748973877917,-7520.937835560814,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,30.78301071552022,947.5937487118326,29169.78852055632,0.9945558244037334,0.9891412878553897,0.9837562289947877
0.0,0.0,85,other,other,,5010,2013,2,1,13,4,5,32,0,0,0,0,0,-19.833333333333332,0.0,0,0,0,none,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.5781195990321457,2.4904614688493805,3.930246054625593,-19.592536582555592,383.86748973877917,-7520.937835560814,-0.035616142412720354,0.0012685096003631777,-4.517941857843792e-05,30.78301071552022,947.5937487118326,29169.78852055632,0.9945558244037334,0.9891412878553897,0.9837562289947877
