ID,traffic_volume
5001,667.9047743890729
5002,296.6455030598368
5003,724.9201325487687
5004,2324.5077584270307
5005,5362.298758359726
5006,4888.098859835553
5007,4525.1824738360465
5008,4799.981966279913
5009,5201.291195656141
5010,5121.016728351075
5011,5435.712869239467
5012,5604.582935527321
5013,2962.4462959988646
5014,2635.8245374833455
5015,1845.7170739268593
5016,656.6568519335714
5017,1239.4830225967462
5018,2266.0064365028093
5019,2801.6364838609557
5020,3744.630406759536
5021,4661.77602388392
5022,4534.335771301244
5023,4850.758976715102
5024,3549.470845264639
5025,2931.976225437358
5026,2369.3567818286806
5027,2581.3618188369132
5028,2608.7973326084093
5029,1075.4777485758605
5030,623.7067741654181
5031,325.4966294606771
5032,309.46347071440545
5033,1346.45855199391
5034,3078.74952299952
5035,3764.416247682951
5036,3950.6901821539345
5037,3994.0536153807225
5038,3375.471804094597
5039,2141.2944465812316
5040,2036.0903614631004
5041,1955.423865293887
5042,1318.6147760002493
5043,242.9940812649003
5044,5944.868707995508
5045,4461.393399426998
5046,3875.5275916929163
5047,4793.57015142391
5048,5284.312476218299
5049,6285.943601438005
5050,5899.335466105399
5051,4235.836663179415
5052,2979.199349444703
5053,1867.190413448645
5054,1135.4415936513215
5055,254.92011625140998
5056,250.27088131603267
5057,296.58007380842184
5058,2417.0977744550523
5059,5184.564468512981
5060,5580.150287980107
5061,4825.9249141452465
5062,5049.293587428795
5063,6549.350830122267
5064,4579.047501320749
5065,2836.792707256931
5066,2446.1971056945567
5067,2359.036065952399
5068,512.170121668717
5069,263.7688466631938
5070,262.31690699351975
5071,318.20347597976473
5072,810.0639837279665
5073,2604.836005577387
5074,4164.521806510027
5075,4477.340847285381
5076,6713.945091842073
5077,6376.026907658656
5078,3315.381597374386
5079,823.9522199002967
5080,6866.6836633999
5081,6022.9950558903365
5082,4492.208286887084
5083,4902.655284413751
5084,5318.956351742078
5085,5995.949105940652
5086,4734.219261870598
5087,3446.0147959997416
5088,1669.2742875838278
5089,341.00989198430017
5090,327.2604914887695
5091,311.404282808799
5092,348.4762653502879
5093,337.1581590118421
5094,801.9748975922695
5095,783.4920098650294
5096,2538.6224460452604
5097,2504.070647811115
5098,5725.998202938759
5099,5171.316303497513
5100,4655.458015109359
5101,4849.824586859964
5102,5030.5647820377735
5103,5775.15426131992
5104,5897.709643397056
5105,6110.486767089534
5106,4766.401341833513
5107,3548.1604154707034
5108,3226.1441866351774
5109,1937.9289383812413
5110,676.3241162079674
5111,371.9695579296497
5112,646.6944213985299
5113,2166.755265770383
5114,2791.407821285396
5115,3730.090163340987
5116,4287.104647691469
5117,4470.776558842152
5118,4641.706362131057
5119,3962.8829529990294
5120,3069.4719956613512
5121,1889.9289825838514
5122,1115.5537588426685
5123,519.6795237365562
5124,284.2213163554041
5125,266.46546734460264
5126,1116.1774848551456
5127,1264.9765176057126
5128,1366.6733874288864
5129,1967.9048395370146
5130,2228.5637583324037
5131,2412.9946262112194
5132,2893.232982949598
5133,2621.1649772060487
5134,2443.480697269878
5135,2461.1842857525858
5136,1658.8386663008082
5137,1424.290842358095
5138,237.0786374013938
5139,725.1426692366897
5140,731.9922700643405
5141,717.9788724959708
5142,2376.951786925647
5143,5754.055029509132
5144,5089.062866358138
5145,5078.468186009592
5146,3750.828810668536
5147,3752.1109449919686
5148,3750.417004597441
5149,4056.307597802521
5150,4060.549875627395
5151,4060.549875627395
5152,4056.307597802521
5153,4165.154683901736
5154,4161.4541152138645
5155,4161.4541152138645
5156,4677.386625380605
5157,4674.216561475909
5158,4677.386625380605
5159,5050.620178912716
5160,6022.787296822315
5161,6052.547553396207
5162,5792.8044583010105
5163,4114.588641946663
5164,2768.1162699650295
5165,2345.311842851712
5166,1548.4233170285904
5167,881.7655787398998
5168,870.0610897956466
5169,553.9822591037483
5170,262.2360050819052
5171,807.0344407641754
5172,6094.004241180772
5173,4561.965816266554
5174,4847.648967473012
5175,3034.3505415151676
5176,2761.198630253101
5177,563.3573809626378
5178,276.42083715879346
5179,234.66650260874422
5180,798.5108197393841
5181,2560.078291865073
5182,4459.57386866535
5183,4849.15172158389
5184,6599.682382141199
5185,6287.415732626773
5186,4597.838547719124
5187,2620.2460916732657
5188,1815.6507385262103
5189,272.3914108164396
5190,231.9974661629635
5191,757.304848585558
5192,2427.1368009353214
5193,4455.346873421785
5194,4980.630566457733
5195,5729.3804314294775
5196,6265.377459703398
5197,5756.262479097891
5198,5749.555560453098
5199,4588.339931776318
5200,3290.4510724768343
5201,2902.848562809474
5202,2878.663042819468
5203,3184.244902681947
5204,3653.545093863642
5205,3661.3773213949094
5206,1635.153170766658
5207,1635.153170766658
5208,1633.224260952015
5209,384.34266703484053
5210,384.9989980384715
5211,322.49662463491364
5212,360.8917903043576
5213,360.26903364632244
5214,816.0374122857199
5215,2528.3042488292394
5216,6523.18826743908
5217,5587.156470748689
5218,4750.137194994884
